LotArea,TotalBsmtSF,FirstFlrSF,GrLivArea,SalePrice
10206,1614,1658,1658,257500
9262,1573,1578,1578,287090
10130,1702,1702,1702,275500
9139,1422,1432,1432,245000
9675,1113,1113,1971,253000
11128,2458,2490,2490,468000
8640,900,932,1852,252678
9000,768,786,1590,210000
7862,1218,1218,1218,208300
7993,1436,1436,1436,225000
8640,1300,1314,1314,229456
8640,1402,1402,1402,229800
12606,1530,1530,1530,250000
9187,1766,1766,1766,370878
7500,1372,1448,1448,238500
11003,1017,1026,2007,310000
10603,900,909,1795,270000
10574,1082,1082,1953,252000
8125,1092,1112,1550,241000
8125,1836,1836,1836,264500
10625,1652,1662,1662,291000
9375,912,912,2094,263000
7500,1221,1221,1221,185000
8736,1553,1553,1553,234500
8127,812,812,1653,209000
9605,1218,1218,1218,159000
7500,1141,1141,1141,152000
7500,1158,1158,1158,143500
10628,835,871,1812,193000
10141,1512,1512,1512,203000
10083,1176,1200,1200,184900
13072,1114,1114,1114,159000
13072,1114,1114,1114,142000
12450,1114,1114,1114,153000
7328,1450,1450,1450,224243
11492,913,913,2122,220000
10994,1844,1844,1844,257000
8529,1454,1434,1434,189000
7703,816,833,1730,171500
10762,626,626,1217,120000
7175,1332,1332,1332,145000
9109,754,754,1540,184000
10274,676,698,1400,162000
8250,0,964,1882,160000
8400,721,841,841,82000
9000,784,784,784,76000
9750,980,980,980,110000
7064,980,980,980,135000
8499,864,864,864,141000
9079,864,864,864,122000
9316,1024,1020,1020,124100
7791,912,912,912,129000
10000,864,1144,1144,131400
8281,864,864,864,62383
7150,912,912,912,123000
15676,2014,2014,2014,275000
11949,975,975,1755,235000
2880,1376,1376,3005,280750
3951,612,612,1224,164500
3000,612,612,1224,173733
3830,1726,1726,1726,222000
4217,1145,1256,1256,195000
3230,729,742,1471,172500
2998,756,756,1512,180000
3768,691,713,1452,156000
2645,970,983,1739,172500
14694,1694,1694,1694,318750
3782,1226,1226,1226,211500
15417,1740,1740,1740,241600
9600,392,1487,2499,180500
9991,1281,1620,1620,150000
11700,727,829,1556,154000
11717,1442,1442,1442,185000
9156,1489,1489,1489,185750
10382,1107,1107,2090,200000
12732,752,1285,2067,206000
12936,723,735,1395,162000
10400,932,1271,2640,256900
17871,1680,1724,1724,197900
9600,1288,1336,1336,163000
9000,1216,1216,1216,113000
13774,908,1316,2288,230000
9650,1350,1334,1334,167900
10140,1650,1680,1680,213250
8400,810,810,1665,227000
7130,864,864,864,130000
9600,1568,1568,1568,143000
9100,925,925,925,117500
9600,1165,1165,2061,168500
16500,1232,1320,1320,172500
9790,1372,1342,1342,161500
7436,894,894,894,141500
8125,864,864,864,118000
9100,864,864,864,127500
9450,1040,1362,1362,140000
13495,1048,1728,1728,177625
11475,1584,1776,1776,110000
10004,1516,1516,1516,167000
9350,1313,1313,1313,153000
10500,1292,1292,1292,145100
11000,1154,1154,1154,154000
8970,744,825,2140,177500
12095,1127,1445,1445,158000
9600,1041,1041,1041,124500
11475,1208,1576,1576,174500
9768,960,960,960,122000
5330,420,708,708,82500
7015,709,979,1203,110000
12160,1505,1505,1505,149500
9900,1680,1691,1691,175000
9600,1416,1644,1644,167000
9600,1050,1050,1050,128900
9600,856,1112,1668,140000
9600,1113,1113,1113,147000
8944,1584,1584,1584,124000
10573,1453,1453,1453,187500
9500,1394,1394,1394,159000
14695,1562,1567,1567,256000
13600,768,1186,1986,205000
13000,896,1182,2142,193500
13560,1392,1392,1392,110000
12513,715,1281,1738,104900
8760,1169,1144,1144,150000
8400,1478,1478,1478,156500
12285,1329,1329,1329,176000
9240,988,988,988,149500
9600,1240,1632,1632,139000
12400,1215,1215,1215,155000
8750,1202,1202,1202,120000
8750,1382,1382,1382,153000
10400,1200,1200,1200,144000
19296,1362,1382,1382,176000
8532,1297,1297,1297,153000
9482,1866,1866,1866,135000
8128,1062,1062,1062,131000
10634,608,1319,1319,123000
13070,631,1112,1112,126000
10434,1005,1005,1005,115000
14559,1008,1363,1363,164900
8480,793,793,793,113000
7626,1031,1031,1031,145500
9533,0,1210,1210,102900
10615,978,1014,1699,95000
11419,699,801,1527,152500
9600,1200,1200,1200,129900
8000,972,972,972,132000
5470,792,792,792,99900
10410,660,808,1656,135000
10800,676,676,1352,149000
8146,405,717,1039,114000
9022,768,792,792,109500
10230,1054,1078,1078,125000
10410,1313,1313,2377,142900
7200,560,930,1690,156500
5400,416,599,599,59000
5400,840,840,1374,105000
10800,720,846,846,106000
10800,630,725,725,78500
9671,1248,1248,2544,190000
10143,1380,1380,1380,154000
11500,1040,1040,1040,163000
11643,1248,1338,2634,200000
8010,951,951,951,143500
10454,1105,1105,1105,135000
8712,992,1306,1306,153000
17600,1478,1478,1478,157500
9000,160,1142,1142,113500
12144,832,1036,1268,133000
8544,0,1040,1040,92900
8064,795,765,1133,128500
7200,0,1040,1040,90000
7200,1208,1136,1904,138000
7350,1041,1041,1041,128000
7560,1029,1339,1339,139000
7200,732,732,732,118900
8000,528,1183,1183,138000
7931,1148,1148,1148,132500
10800,832,832,1461,133500
8064,864,1064,1495,135000
7570,780,993,1806,144750
8604,941,941,941,145000
7936,1045,1045,1045,127000
6600,894,894,894,109500
3950,818,818,1224,115000
10440,440,682,1230,110000
4080,901,861,1378,128900
10307,972,972,1944,103500
5720,676,676,1131,66500
15660,240,810,1306,130000
9900,504,764,1464,129000
6406,690,868,1558,150000
6600,994,1378,2372,107500
7627,600,1101,1701,94550
7596,960,960,1960,124500
3378,651,707,1389,135000
10134,801,801,1447,103000
6000,936,936,936,93000
6000,768,768,1328,129500
6000,811,811,1387,93000
7404,861,861,861,80000
5925,0,612,612,45000
5925,600,600,968,37900
5784,190,886,886,91300
8520,624,792,792,99500
4456,736,736,1452,113000
9600,677,833,1510,87500
3500,720,720,1284,110000
8100,849,1075,2138,106000
11700,1240,1320,2640,265979
8400,917,1090,2007,160000
3600,624,664,1288,119000
17671,916,916,1742,168000
3300,624,816,816,58500
9000,650,832,1482,143000
7200,1022,1022,1022,85000
8820,1088,1188,1869,124900
5400,972,1044,1480,119000
9720,741,780,1521,146500
7879,720,720,720,34900
9392,245,797,797,44000
21384,1324,1072,1576,223500
6615,1022,1432,1432,149000
7264,952,952,1548,205000
4960,297,1001,1654,137000
8854,952,952,952,121000
6000,672,757,1324,128000
6000,698,786,1176,134900
6000,884,884,1348,117000
6000,780,825,1412,132500
6000,468,822,1142,93000
6000,884,904,904,119000
6911,1145,1301,1301,100000
6120,927,1067,1539,141500
6120,884,989,1573,133000
6120,264,800,800,60000
6120,715,875,875,105000
6120,960,995,995,115000
6120,952,994,1582,150000
8635,1072,1072,1072,126500
11888,844,1445,2134,214500
11414,728,1136,2019,167500
8094,1048,1048,1768,155000
2500,910,916,1826,155000
9928,672,1272,1944,179900
5520,755,929,2229,104000
3000,1040,1088,2128,62500
6876,720,1146,1930,149000
6240,780,848,1208,103000
5775,483,741,1427,123000
5852,1020,978,1864,97500
5160,1204,1204,1666,135000
5160,858,892,892,70000
10320,698,754,1403,116000
4280,560,704,704,88750
10800,1200,1200,1200,179000
10800,1200,1200,1200,179000
10547,1152,1152,1152,159900
10020,683,904,904,61000
6629,672,697,1369,103600
9780,585,687,1112,63000
12886,520,1464,1464,175000
8816,1121,1121,1121,139000
11184,918,918,1683,172500
11625,1052,1052,1052,113500
7800,864,899,899,130000
8014,456,1034,1034,149900
7252,858,858,858,134900
8740,840,860,860,137000
11616,1092,1092,1092,139000
15400,552,904,1774,165000
15312,1138,1138,1138,148000
15584,825,2071,2071,165000
9000,0,660,660,63900
11250,1104,1104,1788,161500
25095,1437,1473,1473,143000
17140,1134,1229,1229,135000
12342,861,861,861,82500
10708,1617,1867,1867,190000
13680,0,1733,1733,139600
15635,0,1383,1383,122000
9855,1436,1689,1689,127500
9571,1073,1073,1073,121500
9571,1276,1276,1276,60000
9350,747,892,1639,154400
9340,672,672,672,113000
7440,1089,1089,1089,125000
11500,0,845,845,84000
4235,1049,1049,1049,139500
11409,768,1148,1716,131000
9060,560,698,1258,105000
9084,755,755,1510,108000
10778,1054,1061,1061,162000
19255,520,1338,1338,156500
12327,1496,1496,2132,316600
14684,2158,2196,2196,271900
9317,740,1006,1775,213000
10560,1079,1079,1879,239900
9828,1128,1142,2020,239500
26400,0,1288,2016,131000
7018,0,1535,1535,118964
7018,1086,1224,1224,153337
7018,0,1114,2228,147983
7018,0,1535,1535,118858
7018,0,1535,1535,118858
7018,0,1120,2240,142953
7040,1094,1229,1229,148325
7007,0,1513,1513,113722
11855,1168,1168,2787,269500
7939,1168,1168,2787,269500
7976,1168,1168,2787,269500
10933,1555,1680,1680,323262
10637,1705,1718,1718,297000
10226,1622,1630,1630,295493
10816,1720,1720,1720,332000
9178,1468,1468,1468,239900
10769,866,866,1768,212000
11422,1838,1838,1838,272500
11923,1800,1800,1800,239000
8814,1604,1604,1604,220000
6762,1282,1290,1290,200000
10324,1254,1254,1254,221800
7314,1232,1232,1232,194500
11645,1498,1498,1498,237000
11646,704,704,1422,173000
12800,1518,1644,1644,275000
16698,1449,944,1759,233500
28698,1013,1160,2126,185000
12464,1040,1040,1040,152000
9757,990,990,990,143000
15426,928,928,1764,231500
10667,799,827,1661,212000
14753,1463,1463,1463,207000
10859,1097,1097,1097,145000
8072,990,990,990,138000
10400,866,866,1779,197900
10335,1490,1501,1501,204000
9017,1431,1431,1431,192000
8750,928,928,1772,200000
8935,831,831,1660,195000
9808,1573,1573,1573,227000
12420,944,944,1840,230000
16285,1413,1430,1430,187100
10739,1431,1444,1444,203000
11166,1492,1492,1492,201000
8430,1040,1040,1040,124000
16269,907,907,907,140000
6950,914,914,914,134900
8800,1040,1040,1040,150500
7000,864,864,864,136500
9286,1268,1268,1268,143500
15523,864,864,864,133500
7200,894,894,894,123000
7200,768,768,768,133900
8445,768,768,768,133000
11664,1569,1611,1611,250000
12334,1068,1068,2184,254750
11838,1753,1788,1788,236500
11885,1299,1299,1872,261500
11050,1440,1476,2153,313000
8749,840,840,1725,198500
11250,944,944,1870,211000
15750,1462,1513,1513,220000
11883,1504,1504,1504,203000
12782,1822,1828,1828,279500
8750,1417,1417,1417,210000
9375,1057,1057,2034,219500
8750,880,909,1716,191000
9100,1212,1212,1212,178000
9750,1630,1630,1630,213000
4435,848,848,848,144000
4435,848,848,848,140000
10200,1578,1602,1602,293200
9313,864,864,1728,190000
8487,1500,1500,1500,190000
8633,738,738,1476,173500
11069,608,608,1396,170000
8777,0,1126,1126,108000
9937,1486,1486,1486,167000
8877,816,816,816,100000
7301,0,495,1922,198500
7950,690,698,1426,159500
10682,1014,1149,1149,127000
7200,1041,1125,1125,125000
13286,1698,1698,1698,320000
3675,547,1072,1072,145500
9405,698,698,698,118000
6410,876,876,876,85000
11767,1078,1368,1368,120000
8405,0,1088,1529,98000
4060,864,864,864,99900
10206,0,944,944,82000
10926,1678,1678,1678,119900
11767,1150,1560,1560,103500
8926,672,960,960,112000
12354,684,684,1196,110000
8212,720,854,1298,122000
10998,984,984,1604,117000
6300,832,832,1268,160000
4500,793,848,1520,159434
8400,290,438,438,60000
9900,778,944,1489,139500
15863,824,1687,3082,197000
5707,583,647,1242,105000
7804,1122,1328,1981,135000
8574,816,1232,1232,147500
6171,976,1160,1608,137450
7200,560,575,1135,155000
7558,896,1172,1913,177000
6292,861,877,1477,145000
7155,600,628,1228,137000
10918,1276,1276,2080,234000
13680,840,840,1567,205000
7500,771,753,1494,177500
9600,728,976,1308,160000
14680,1273,1273,1273,155000
13360,876,964,964,163500
7681,731,820,1343,154900
8145,920,1240,2480,205000
9100,1112,1112,1112,144800
12000,704,860,1564,174500
13339,1561,1561,1561,193000
15600,1067,986,1523,158000
14000,1092,1152,1152,158500
17500,1310,1906,1906,224000
1733,516,516,1032,115000
1488,561,561,1229,137000
1612,561,561,1229,121000
1300,561,561,1229,124000
13607,572,1182,1982,208000
17597,1803,2365,2365,315000
21695,880,1680,1680,222000
10690,672,672,1344,147000
8660,760,928,2168,123000
6402,596,596,1192,78000
8470,1013,1013,1526,85000
10200,572,572,572,75000
3843,1596,1648,1648,230000
21780,0,810,810,57625
10125,1107,1040,2052,251000
12822,1434,1518,2149,239686
12118,1710,1710,1710,240000
12209,804,804,1961,215000
9750,902,926,926,156450
9360,957,1287,1287,173000
10125,0,1302,1734,126000
9947,1188,1217,1217,173000
11070,1582,1595,1595,152000
14375,819,1344,1344,137500
215245,2136,2036,2036,375000
12898,1620,1620,1620,315500
13159,846,846,1692,224500
13438,2190,2036,2036,410000
14463,1641,1641,1641,316500
8925,1466,1466,1466,201000
11457,1392,1412,1412,175000
9839,712,1375,2237,204000
14419,1645,1479,1479,213500
6853,1267,1296,1296,220000
9157,912,1072,2014,170000
14601,1838,1838,1838,315000
12633,1978,1978,1978,425000
12518,1008,1008,1008,139500
21750,0,1771,1771,115000
4500,1204,1204,1204,162000
4500,1224,1224,1224,165000
1596,462,526,988,91000
9858,864,874,874,130000
1526,630,630,630,86000
13383,1188,1404,1404,160000
1477,630,630,630,80000
1533,546,798,1344,97000
2217,546,546,1092,88000
7689,796,796,796,131900
7706,384,1091,1091,131250
9101,1097,1110,1110,165500
8780,833,833,833,112000
7669,828,883,883,149000
14115,796,796,1362,143000
10429,624,624,1287,130000
9819,1567,1567,1567,196000
10457,784,784,1632,173000
11029,1184,1414,1414,176500
12925,1205,2117,2117,237500
11075,952,1092,2112,206900
8702,926,926,1604,187500
8139,680,680,1470,165000
9535,926,926,1604,195500
9042,943,943,1638,192000
15038,916,916,1636,173000
14137,1348,1384,1384,177900
21872,729,729,1446,175000
